iter	Passed	Remaining
0	0	763
1	1	712
2	2	679
3	2	680
4	3	682
5	3	661
6	4	649
7	5	650
8	5	646
9	6	650
10	7	649
11	7	648
12	8	645
13	9	642
14	9	641
15	10	636
16	10	635
17	11	637
18	12	634
19	12	631
20	13	629
21	14	628
22	14	629
23	15	638
24	16	638
25	17	637
26	17	633
27	18	631
28	18	627
29	19	625
30	19	622
31	20	616
32	20	611
33	21	611
34	22	607
35	22	604
36	23	602
37	23	599
38	24	595
39	24	591
40	25	587
41	25	583
42	26	579
43	26	576
44	26	572
45	27	570
46	28	569
47	28	568
48	29	566
49	29	563
50	30	560
51	30	558
52	31	556
53	31	554
54	32	553
55	32	553
56	33	551
57	33	550
58	34	550
59	34	548
60	35	545
61	35	543
62	36	541
63	36	539
64	37	537
65	37	534
66	38	533
67	38	532
68	39	531
69	39	530
70	40	531
71	41	531
72	41	531
73	42	529
74	42	529
75	43	528
76	43	527
77	44	525
78	45	524
79	45	523
80	46	523
81	46	522
82	46	519
83	47	518
84	48	517
85	48	516
86	49	516
87	49	515
88	50	513
89	50	513
90	51	513
91	52	513
92	52	512
93	53	511
94	53	511
95	54	510
96	54	509
97	55	507
98	55	506
99	56	505
100	56	504
101	57	503
102	57	502
103	58	501
104	58	500
105	59	499
106	59	499
107	60	498
108	60	496
109	61	495
110	61	494
111	62	493
112	62	492
113	63	491
114	63	489
115	64	488
116	64	486
117	65	486
118	65	486
119	66	485
120	66	485
121	67	483
122	67	482
123	68	480
124	68	479
125	69	478
126	69	477
127	69	476
128	70	475
129	70	474
130	71	474
131	72	474
132	72	473
133	73	471
134	73	471
135	73	469
136	74	468
137	74	467
138	75	466
139	75	465
140	76	464
141	76	462
142	77	461
143	77	461
144	78	461
145	78	460
146	79	459
147	79	458
148	80	457
149	80	456
150	80	455
151	81	454
152	81	453
153	82	452
154	82	451
155	83	450
156	83	450
157	84	450
158	84	449
159	85	448
160	85	446
161	86	445
162	86	444
163	87	444
164	87	443
165	88	442
166	88	441
167	88	440
168	89	439
169	90	439
170	90	438
171	91	438
172	91	437
173	91	436
174	92	435
175	92	434
176	93	434
177	93	433
178	94	432
179	94	431
180	95	430
181	95	429
182	96	429
183	96	428
184	97	427
185	97	427
186	98	426
187	98	425
188	98	424
189	99	424
190	99	423
191	100	422
192	100	421
193	101	421
194	101	420
195	102	420
196	103	419
197	103	419
198	103	418
199	104	417
200	104	417
201	105	416
202	105	415
203	106	414
204	106	413
205	107	413
206	107	412
207	108	411
208	108	412
209	109	412
210	110	412
211	110	411
212	111	410
213	111	409
214	112	409
215	112	408
216	112	407
217	113	406
218	113	406
219	114	405
220	114	404
221	115	404
222	115	403
223	116	403
224	116	402
225	117	401
226	117	401
227	118	400
228	118	399
229	119	399
230	119	398
231	120	397
232	120	397
233	121	396
234	121	396
235	122	395
236	122	395
237	123	394
238	123	393
239	124	393
240	124	392
241	125	392
242	125	391
243	126	391
244	126	390
245	127	390
246	127	389
247	128	388
248	128	388
